symbol,market
AAPL,NASDAQ
MSFT,NASDAQ
NVDA,NASDAQ
AMZN,NASDAQ
GOOGL,NASDAQ
GOOG,NASDAQ
META,NASDAQ
TSLA,NASDAQ
AVGO,NASDAQ
COST,NASDAQ
PEP,NASDAQ
CSCO,NASDAQ
TMUS,NASDAQ
ADBE,NASDAQ
AMD,NASDAQ
NFLX,NASDAQ
QCOM,NASDAQ
TXN,NASDAQ
AMGN,NASDAQ
INTU,NASDAQ
ISRG,NASDAQ
HON,NASDAQ
BKNG,NASDAQ
MDLZ,NASDAQ
VRTX,NASDAQ
REGN,NASDAQ
ADP,NASDAQ
LRCX,NASDAQ
PANW,NASDAQ
MU,NASDAQ
SNPS,NASDAQ
CDNS,NASDAQ
KLAC,NASDAQ
MELI,NASDAQ
MAR,NASDAQ
ORLY,NASDAQ
CTAS,NASDAQ
NXPI,NASDAQ
CRWD,NASDAQ
WBD,NASDAQ
KDP,NASDAQ
MNST,NASDAQ
PAYX,NASDAQ
ADI,NASDAQ
PCAR,NASDAQ
DXCM,NASDAQ
MCHP,NASDAQ
IDXX,NASDAQ
ROST,NASDAQ
PYPL,NASDAQ
EA,NASDAQ
LULU,NASDAQ
CHTR,NASDAQ
FAST,NASDAQ
BKR,NASDAQ
CTSH,NASDAQ
CDW,NASDAQ
MRNA,NASDAQ
FANG,NASDAQ
CEG,NASDAQ
ADSK,NASDAQ
ODFL,NASDAQ
DASH,NASDAQ
EXC,NASDAQ
DDOG,NASDAQ
TEAM,NASDAQ
GEHC,NASDAQ
PAYC,NASDAQ
ILMN,NASDAQ
ZS,NASDAQ
ON,NASDAQ
ALNY,NASDAQ
FLEX,NASDAQ
ASML,NASDAQ
JD,NASDAQ
PDD,NASDAQ
NTES,NASDAQ
BIDU,NASDAQ
BILI,NASDAQ
LI,NASDAQ
XPEV,NASDAQ
NIO,NASDAQ
LCID,NASDAQ
RIVN,NASDAQ
HOOD,NASDAQ
COIN,NASDAQ
SOFI,NASDAQ
PLTR,NASDAQ
PLUG,NASDAQ
BLNK,NASDAQ
RUN,NASDAQ
ENPH,NASDAQ
SEDG,NASDAQ
FSLR,NASDAQ
CSIQ,NASDAQ
SPWR,NASDAQ
AMAT,NASDAQ
ANSS,NASDAQ
ALGN,NASDAQ
AWK,NASDAQ
BIIB,NASDAQ
BMRN,NASDAQ
CHKP,NASDAQ
CPRT,NASDAQ
CSX,NASDAQ
DLTR,NASDAQ
EBAY,NASDAQ
EXPE,NASDAQ
EXR,NASDAQ
FTV,NASDAQ
GILD,NASDAQ
HAS,NASDAQ
HSIC,NASDAQ
INCY,NASDAQ
INTC,NASDAQ
JBHT,NASDAQ
JKHY,NASDAQ
KHC,NASDAQ
LKQ,NASDAQ
MXIM,NASDAQ
MYL,NASDAQ
NTAP,NASDAQ
SBUX,NASDAQ
SIRI,NASDAQ
SWKS,NASDAQ
TCOM,NASDAQ
VRSK,NASDAQ
VRSN,NASDAQ
WBA,NASDAQ
WDC,NASDAQ
WLTW,NASDAQ
WYNN,NASDAQ
XCEL,NASDAQ
XLNX,NASDAQ
ZBRA,NASDAQ
ZM,NASDAQ
AAL,NASDAQ
ALXN,NASDAQ
ATVI,NASDAQ
CERN,NASDAQ
CTXS,NASDAQ
DISCA,NASDAQ
DISCK,NASDAQ
DISH,NASDAQ
FB,NASDAQ
FOX,NASDAQ
FOXA,NASDAQ
LBTYA,NASDAQ
LBTYK,NASDAQ
MDSL,NASDAQ
SPLK,NASDAQ
TTWO,NASDAQ
VOD,NASDAQ
WDAY,NASDAQ
AKAM,NASDAQ
NWS,NASDAQ
NWSA,NASDAQ
SGEN,NASDAQ
TROW,NASDAQ
XRAY,NASDAQ
CTRP,NASDAQ
OKTA,NASDAQ
DOCU,NASDAQ
MATCH,NASDAQ
MGM,NASDAQ
LVS,NASDAQ
RCL,NASDAQ
CCL,NASDAQ
NCLH,NASDAQ
LLY,NYSE
JPM,NYSE
V,NYSE
MA,NYSE
WMT,NYSE
UNH,NYSE
XOM,NYSE
ORCL,NYSE
JNJ,NYSE
PG,NYSE
HD,NYSE
BAC,NYSE
ABBV,NYSE
MRK,NYSE
CVX,NYSE
CRM,NYSE
DIS,NYSE
TMO,NYSE
WFC,NYSE
MCD,NYSE
T,NYSE
VZ,NYSE
KO,NYSE
PM,NYSE
